auroc,eer,accuracy_at_eer,sensitivity_at_eer,specificity_at_eer,accuracy_at_sensitivity90,sensitivity_at_sensitivity90,specificity_at_sensitivity90,Method,Dataset
55.0 (+/- 4.8),46.0 (+/- 3.3),54.7 (+/- 3.9),53.2 (+/- 6.0),54.8 (+/- 4.6),53.0 (+/- 3.2),55.0 (+/- 8.4),52.7 (+/- 4.2),RandomForest,b_g_m_all_TIC_scalar_MS_RandomForest
61.5 (+/- 8.1),38.9 (+/- 6.0),60.9 (+/- 5.9),61.4 (+/- 6.2),60.9 (+/- 5.9),23.0 (+/- 4.8),90.0 (+/- 1.7),13.5 (+/- 6.2),SVM,b_g_m_all_TIC_scalar_MS_SVM
60.1 (+/- 5.4),40.6 (+/- 5.1),59.0 (+/- 4.9),59.9 (+/- 5.5),58.9 (+/- 4.8),23.6 (+/- 7.0),89.3 (+/- 0.9),14.6 (+/- 6.9),NN,b_g_m_all_TIC_scalar_MS_NN
61.8 (+/- 6.8),39.0 (+/- 5.9),60.6 (+/- 5.7),61.4 (+/- 6.2),60.5 (+/- 5.6),23.6 (+/- 7.0),89.3 (+/- 0.9),14.6 (+/- 6.9),LogisticRegression,b_g_m_all_TIC_scalar_MS_LogisticRegression
61.7 (+/- 6.7),39.0 (+/- 6.0),60.7 (+/- 5.8),61.4 (+/- 6.2),60.6 (+/- 5.7),23.7 (+/- 6.8),89.3 (+/- 0.9),14.7 (+/- 6.7),LinearRegression,b_g_m_all_TIC_scalar_MS_LinearRegression
50.4 (+/- 6.0),48.4 (+/- 4.4),53.6 (+/- 5.1),48.9 (+/- 8.2),54.4 (+/- 6.1),51.1 (+/- 5.6),49.8 (+/- 9.5),51.4 (+/- 7.4),RandomForest,b_g_m_all_TIC_scalar_autic_RandomForest
50.3 (+/- 7.1),48.3 (+/- 6.4),52.1 (+/- 6.0),51.2 (+/- 7.0),52.2 (+/- 5.9),18.5 (+/- 8.7),90.7 (+/- 3.0),8.5 (+/- 9.5),SVM,b_g_m_all_TIC_scalar_autic_SVM
56.7 (+/- 6.7),45.6 (+/- 3.1),54.6 (+/- 2.8),54.1 (+/- 3.5),54.7 (+/- 2.7),21.4 (+/- 8.8),88.4 (+/- 1.1),12.1 (+/- 9.4),NN,b_g_m_all_TIC_scalar_autic_NN
57.3 (+/- 4.3),47.3 (+/- 3.0),52.9 (+/- 2.8),52.5 (+/- 3.3),53.0 (+/- 2.8),23.5 (+/- 10.3),89.3 (+/- 0.9),14.5 (+/- 10.9),LogisticRegression,b_g_m_all_TIC_scalar_autic_LogisticRegression
57.3 (+/- 4.3),47.4 (+/- 3.0),52.7 (+/- 2.7),52.5 (+/- 3.3),52.7 (+/- 2.7),23.6 (+/- 10.4),89.3 (+/- 0.9),14.6 (+/- 11.0),LinearRegression,b_g_m_all_TIC_scalar_autic_LinearRegression
57.1 (+/- 8.4),47.3 (+/- 9.7),52.6 (+/- 9.8),52.8 (+/- 9.6),52.6 (+/- 9.8),20.5 (+/- 6.2),89.2 (+/- 1.8),10.9 (+/- 6.4),RandomForest,b_g_m_all_TIC_scalar_all_RandomForest
64.7 (+/- 5.4),40.9 (+/- 5.8),59.1 (+/- 6.0),59.1 (+/- 5.7),59.0 (+/- 6.0),25.1 (+/- 5.9),89.3 (+/- 0.9),16.2 (+/- 6.2),SVM,b_g_m_all_TIC_scalar_all_SVM
62.9 (+/- 2.7),40.5 (+/- 2.8),59.5 (+/- 2.6),59.5 (+/- 3.1),59.5 (+/- 2.6),21.1 (+/- 6.4),89.3 (+/- 0.9),11.7 (+/- 6.5),NN,b_g_m_all_TIC_scalar_all_NN
71.3 (+/- 3.4),33.7 (+/- 3.6),66.4 (+/- 3.6),66.3 (+/- 3.7),66.4 (+/- 3.5),32.6 (+/- 6.7),89.3 (+/- 0.9),24.7 (+/- 7.7),LogisticRegression,b_g_m_all_TIC_scalar_all_LogisticRegression
66.2 (+/- 6.2),36.5 (+/- 6.7),63.6 (+/- 6.8),63.5 (+/- 6.7),63.6 (+/- 6.8),23.9 (+/- 4.5),89.3 (+/- 0.9),14.8 (+/- 4.8),LinearRegression,b_g_m_all_TIC_scalar_all_LinearRegression
