auroc,eer,accuracy_at_eer,sensitivity_at_eer,specificity_at_eer,accuracy_at_sensitivity90,sensitivity_at_sensitivity90,specificity_at_sensitivity90,Method,Dataset
60.4 (+/- 6.9),39.7 (+/- 7.3),59.7 (+/- 7.0),61.2 (+/- 8.0),59.4 (+/- 7.0),23.0 (+/- 6.4),90.4 (+/- 1.3),12.3 (+/- 6.4),RandomForest,b_g_m_TIC_all_RandomForest
66.6 (+/- 5.3),36.8 (+/- 5.4),63.3 (+/- 5.3),63.2 (+/- 5.6),63.3 (+/- 5.3),27.0 (+/- 8.5),89.9 (+/- 0.8),17.2 (+/- 8.3),SVM,b_g_m_TIC_all_SVM
63.5 (+/- 5.5),36.9 (+/- 4.9),62.6 (+/- 4.5),64.0 (+/- 5.5),62.3 (+/- 4.3),25.9 (+/- 10.6),89.9 (+/- 0.8),16.1 (+/- 9.8),NN,b_g_m_TIC_all_NN
70.5 (+/- 4.8),32.5 (+/- 4.4),67.3 (+/- 4.6),67.8 (+/- 4.2),67.2 (+/- 4.6),28.9 (+/- 10.8),89.9 (+/- 0.8),19.5 (+/- 10.8),LogisticRegression,b_g_m_TIC_all_LogisticRegression
65.7 (+/- 6.1),37.1 (+/- 6.3),62.8 (+/- 6.3),63.0 (+/- 6.3),62.8 (+/- 6.3),25.4 (+/- 13.6),89.9 (+/- 0.8),15.7 (+/- 13.5),LinearRegression,b_g_m_TIC_all_LinearRegression
57.6 (+/- 8.5),43.4 (+/- 7.2),57.7 (+/- 6.9),55.1 (+/- 8.1),58.0 (+/- 6.9),54.7 (+/- 4.3),58.3 (+/- 12.5),53.7 (+/- 4.9),RandomForest,b_g_m_TIC_MS_RandomForest
58.1 (+/- 4.6),42.8 (+/- 3.4),57.1 (+/- 3.7),57.3 (+/- 3.0),57.1 (+/- 3.8),27.6 (+/- 11.3),89.9 (+/- 0.8),18.1 (+/- 11.1),SVM,b_g_m_TIC_MS_SVM
61.7 (+/- 4.9),41.9 (+/- 2.6),58.1 (+/- 2.8),58.0 (+/- 2.5),58.1 (+/- 2.9),26.2 (+/- 10.0),89.9 (+/- 0.8),16.4 (+/- 9.2),NN,b_g_m_TIC_MS_NN
62.6 (+/- 7.6),41.1 (+/- 5.2),59.0 (+/- 5.3),58.8 (+/- 5.1),59.1 (+/- 5.3),27.9 (+/- 9.1),89.9 (+/- 0.8),18.4 (+/- 8.1),LogisticRegression,b_g_m_TIC_MS_LogisticRegression
62.7 (+/- 7.7),41.1 (+/- 5.2),59.0 (+/- 5.3),58.8 (+/- 5.1),59.1 (+/- 5.3),27.8 (+/- 9.2),89.9 (+/- 0.8),18.3 (+/- 8.2),LinearRegression,b_g_m_TIC_MS_LinearRegression
