auroc,eer,accuracy_at_eer,sensitivity_at_eer,specificity_at_eer,accuracy_at_sensitivity90,sensitivity_at_sensitivity90,specificity_at_sensitivity90,Method,Dataset
67.4 (+/- 2.1),36.9 (+/- 2.1),64.1 (+/- 2.6),61.8 (+/- 2.2),64.5 (+/- 2.8),59.0 (+/- 4.2),67.3 (+/- 5.7),57.5 (+/- 5.5),RandomForest,b_g_m_PatRisk_RandomForest
76.9 (+/- 5.0),30.0 (+/- 6.1),69.5 (+/- 6.1),70.6 (+/- 6.2),69.3 (+/- 6.1),40.0 (+/- 16.6),89.9 (+/- 0.8),32.2 (+/- 18.4),SVM,b_g_m_PatRisk_SVM
76.7 (+/- 5.3),31.2 (+/- 6.6),68.7 (+/- 6.4),68.9 (+/- 7.0),68.6 (+/- 6.3),40.3 (+/- 12.5),90.0 (+/- 1.9),32.6 (+/- 13.6),NN,b_g_m_PatRisk_NN
77.4 (+/- 5.3),30.9 (+/- 6.3),69.2 (+/- 5.9),68.9 (+/- 7.0),69.2 (+/- 5.7),43.3 (+/- 14.4),89.2 (+/- 1.5),36.0 (+/- 16.2),LogisticRegression,b_g_m_PatRisk_LogisticRegression
78.5 (+/- 4.7),29.8 (+/- 5.9),69.9 (+/- 5.8),70.6 (+/- 6.2),69.8 (+/- 5.8),47.6 (+/- 14.5),89.2 (+/- 1.5),41.2 (+/- 15.8),LinearRegression,b_g_m_PatRisk_LinearRegression
64.9 (+/- 6.9),37.3 (+/- 6.5),63.6 (+/- 4.8),61.4 (+/- 9.4),63.9 (+/- 4.5),55.4 (+/- 2.7),68.4 (+/- 13.8),53.1 (+/- 3.7),RandomForest,b_g_m_MenoStatus_RandomForest
69.2 (+/- 9.2),37.1 (+/- 8.8),62.8 (+/- 8.9),63.0 (+/- 8.6),62.7 (+/- 9.0),33.8 (+/- 13.3),90.6 (+/- 0.9),24.7 (+/- 15.5),SVM,b_g_m_MenoStatus_SVM
70.0 (+/- 9.4),36.2 (+/- 7.1),63.7 (+/- 7.3),64.0 (+/- 6.7),63.7 (+/- 7.4),34.7 (+/- 12.2),90.6 (+/- 0.9),26.2 (+/- 12.9),NN,b_g_m_MenoStatus_NN
68.8 (+/- 9.1),37.2 (+/- 7.0),62.5 (+/- 7.1),63.2 (+/- 6.9),62.4 (+/- 7.2),30.6 (+/- 11.4),89.6 (+/- 2.5),21.4 (+/- 11.7),LogisticRegression,b_g_m_MenoStatus_LogisticRegression
66.6 (+/- 6.5),40.4 (+/- 6.0),59.8 (+/- 6.0),59.3 (+/- 6.0),59.9 (+/- 6.0),29.6 (+/- 6.1),90.6 (+/- 0.9),20.1 (+/- 5.1),LinearRegression,b_g_m_MenoStatus_LinearRegression
66.4 (+/- 5.8),37.4 (+/- 4.7),62.5 (+/- 4.9),62.9 (+/- 4.5),62.4 (+/- 5.0),54.6 (+/- 3.4),68.2 (+/- 8.5),52.2 (+/- 4.0),RandomForest,b_g_m_FamRisk_RandomForest
