,auroc_mean,eer_mean,accuracy_at_eer_mean,sensitivity_at_eer_mean,specificity_at_eer_mean,accuracy_at_sensitivity90_mean,sensitivity_at_sensitivity90_mean,specificity_at_sensitivity90_mean,auroc_std,eer_std,accuracy_at_eer_std,sensitivity_at_eer_std,specificity_at_eer_std,accuracy_at_sensitivity90_std,sensitivity_at_sensitivity90_std,specificity_at_sensitivity90_std,Method,Dataset
b_m_TIC_phases_RandomForest,0.6587764263153076,0.39239131808280947,0.6112293362617492,0.5937710464000702,0.6214463293552399,0.43618529438972475,0.8979292988777161,0.21360685750842096,0.08728595155358838,0.10137784516288133,0.09976591587301639,0.10978136013284168,0.09808117042231909,0.13809290759823395,0.014747482415756581,0.19468062917192913,RandomForest,b_m_TIC_phases_RandomForest
b_m_TIC_phases_SVM,0.7622128248214721,0.29243168234825134,0.7064070343971253,0.710757577419281,0.7043790578842163,0.4484646081924438,0.9062626361846924,0.22018267586827278,0.06664201234942058,0.08732242143150036,0.08751015199956907,0.0873184815953882,0.08752470446312832,0.09185355880979644,0.010635371021711458,0.14224412367867306,SVM,b_m_TIC_phases_SVM
b_m_TIC_phases_NN,0.7627405405044556,0.31761271357536314,0.6836228847503663,0.6793602705001831,0.6854143023490906,0.4518700301647186,0.9183838486671447,0.21613748148083686,0.060612108782272286,0.06092736259614124,0.062131516118753005,0.057288699477662686,0.06471063894659994,0.11255776300422063,0.027737540183986095,0.17688799472566444,NN,b_m_TIC_phases_NN
b_m_TIC_phases_LogisticRegression,0.8334848999977111,0.2353806674480438,0.7643091320991516,0.7655723929405213,0.7636662721633911,0.5417465984821319,0.9062626361846924,0.3624008968472481,0.05034646668779232,0.06871787046985295,0.06858153871155888,0.06948396637259371,0.06808081095479078,0.12954157559716678,0.010635371021711458,0.19093527215872008,LogisticRegression,b_m_TIC_phases_LogisticRegression
b_m_TIC_phases_LinearRegression,0.7913701653480529,0.29317591786384584,0.7077149271965026,0.7043771028518677,0.7092710614204407,0.46629664301872253,0.9062626361846924,0.25157889127731325,0.07033292251172756,0.06267640157487835,0.0620328988924184,0.0643279364285291,0.061088863660591415,0.09199229915463168,0.010635371021711458,0.12320891051519647,LinearRegression,b_m_TIC_phases_LinearRegression
b_m_TIC_MS_autic_RandomForest,0.7283547639846801,0.33232331871986387,0.6693445086479187,0.6633165001869201,0.672036862373352,0.47477219104766843,0.9062626361846924,0.26383514106273653,0.06967634668715979,0.07980773132728858,0.07599149390564836,0.0921589230235623,0.06843966803990754,0.059055151931206175,0.010635371021711458,0.07712488069188395,RandomForest,b_m_TIC_MS_autic_RandomForest
b_m_TIC_MS_autic_SVM,0.7699305057525635,0.28064586520195006,0.7199012756347656,0.7177104473114013,0.7209978222846984,0.4310250163078308,0.9062626361846924,0.1975910633802414,0.05830130010769711,0.05619729182891331,0.05624688558372379,0.05611718149871633,0.05634951401742245,0.07540627253950859,0.010635371021711458,0.10602448189867755,SVM,b_m_TIC_MS_autic_SVM
b_m_TIC_MS_autic_NN,0.8074936866760254,0.2553904473781586,0.7449744820594788,0.7434511780738831,0.7457679271697998,0.4522847175598145,0.9062626361846924,0.2315845463424921,0.04412342853640477,0.05468482343649402,0.05424341497128573,0.05603679803890604,0.05349204310431911,0.08635815046673014,0.010635371021711458,0.11541508678061904,NN,b_m_TIC_MS_autic_NN
b_m_TIC_MS_autic_LogisticRegression,0.8177921772003174,0.2563811600208282,0.74390127658844,0.7427104473114013,0.7445272326469421,0.48509047031402586,0.9062626361846924,0.27871754616498945,0.0387458763485359,0.054372313554862745,0.05396713761765241,0.05565024726390604,0.053226320190021666,0.0748624436876074,0.010635371021711458,0.10551466769641965,LogisticRegression,b_m_TIC_MS_autic_LogisticRegression
b_m_TIC_MS_autic_LinearRegression,0.8171304583549499,0.2579940617084503,0.7417273640632629,0.7427104473114013,0.741301429271698,0.4882498860359192,0.9062626361846924,0.2833348780870438,0.03949707856633437,0.05464484284557763,0.05433321543548083,0.05565024726390604,0.05377160296023819,0.06745494697612443,0.010635371021711458,0.09420595523312494,LinearRegression,b_m_TIC_MS_autic_LinearRegression
b_m_TIC_MS_RandomForest,0.789847195148468,0.2703908860683441,0.731293547153473,0.7250841736793519,0.7341340541839599,0.6044800877571106,0.8468686819076539,0.4835844814777374,0.048572297969667895,0.043762138661783495,0.04197831051286691,0.04905132347998754,0.03869086432290953,0.07839281115673949,0.03270357128592237,0.11435416037646802,RandomForest,b_m_TIC_MS_RandomForest
