ScanID,max_slope
1_1_0,0.014780298
1_2_0,0.033742175
10_1_0,0.02680853
10_2_0,0.019918531
10_3_0,0.039488703
100_1_0,0.022833645
103_1_0,0.011978269
103_10_0,0.020193249
103_2_0,0.007311583
103_3_0,0.015743166
103_4_0,0.008477867
103_5_0,0.010425806
103_6_0,0.01549682
103_7_0,0.006772935
103_8_0,0.02131021
103_9_0,0.016154647
104_1_0,0.026795924
104_2_0,0.02078794
105_1_0,0.012381375
105_10_0,0.024785727
105_11_0,0.031810403
105_12_0,0.037899703
105_2_0,0.010917917
105_3_0,0.017063245
105_4_0,0.026283637
105_5_0,0.03123957
105_6_0,0.036670983
105_7_0,0.024383217
105_8_0,0.032836705
105_9_0,0.017593026
106_1_0,0.019223273
106_2_0,0.012940258
106_3_0,0.017857313
106_4_0,0.02004388
106_5_0,0.011520207
106_6_0,0.025346607
106_7_0,0.021450251
107_1_0,0.008682907
107_2_0,0.008094519
107_3_0,0.006445915
107_4_0,0.010629207
107_5_0,0.021704018
107_6_0,0.010280639
107_7_0,0.021075785
107_8_0,0.008354992
107_9_0,0.021779329
108_1_0,0.004358798
108_2_0,0.008098841
108_3_0,0.009837925
108_4_0,0.03180039
108_5_0,0.013112307
109_1_0,0.02240917
109_2_0,0.013777167
109_3_0,0.029838026
109_4_0,0.019674867
109_5_0,0.0163576
109_6_0,0.022036463
109_7_0,0.017072946
109_8_0,0.014632434
11_1_0,0.015349239
11_2_0,0.019745916
11_3_0,0.010504991
11_4_0,0.010943711
110_1_0,0.03240843
111_1_0,0.006434292
111_2_0,0.022435606
111_3_0,0.022578001
111_4_0,0.01865083
111_5_0,0.025014848
111_6_0,0.022510469
111_7_0,0.019376367
112_1_0,0.007459626
112_2_0,0.04301822
114_1_0,0.018752605
114_2_0,0.014161214
114_3_0,0.01644133
114_4_0,0.06800316
114_5_0,0.025315389
114_6_0,0.022696719
114_7_0,0.025954142
114_8_0,0.032130137
115_1_0,0.017908946
115_10_0,0.03547719
115_11_0,0.031030238
115_2_0,0.024216786
115_3_0,0.027492225
115_4_0,0.017877534
115_5_0,0.02301453
115_6_0,0.024417028
115_7_0,0.037976876
115_8_0,0.023159072
115_9_0,0.029524267
116_1_0,0.019926757
116_2_0,0.027623922
116_3_0,0.022897989
116_4_0,0.02565223
116_5_0,0.027361065
116_6_0,0.01766473
116_7_0,0.04109022
116_8_0,0.03666979
116_9_0,0.020295173
118_1_0,0.009836569
118_2_0,0.006763965
118_3_0,0.031080365
118_4_0,0.01911053
118_5_0,0.016782656
118_6_0,0.01699455
118_7_0,0.01817374
119_1_0,0.027446672
119_2_0,0.021768332
12_1_0,0.011506826
12_2_0,0.007618427
120_1_0,0.013442785
120_2_0,0.01202029
120_3_0,0.013032645
120_4_0,0.019015223
120_5_0,0.01642692
120_6_0,0.020545185
122_1_0,0.004931271
122_10_0,0.004116833
122_11_0,0.007227004
122_12_0,0.007194489
122_13_0,0.007446557
122_14_0,0.006526411
122_15_0,0.019174457
122_16_0,0.012945324
122_17_0,0.008853495
122_18_0,0.015058443
122_19_0,0.007329464
122_2_0,0.007738143
122_20_0,0.007312343
122_3_0,0.004010171
122_4_0,0.005951971
122_5_0,0.005765528
122_6_0,0.006814152
122_7_0,0.017755896
122_8_0,0.007997572
122_9_0,0.008674026
123_1_0,0.00771454
123_10_0,0.013433486
123_11_0,0.014477611
123_2_0,0.011185929
123_3_0,0.0068997
123_4_0,0.008375302
123_5_0,0.007837474
123_6_0,0.012063295
123_7_0,0.013918757
123_8_0,0.010619074
123_9_0,0.005945057
124_1_0,0.006016031
124_2_0,0.012243137
124_3_0,0.007629693
124_4_0,0.017086893
124_5_0,0.016396359
124_6_0,0.011072412
124_7_0,0.014235258
124_8_0,0.021877289
125_1_0,0.021831661
125_2_0,0.027491719
125_3_0,0.028006375
125_4_0,0.021087855
125_5_0,0.028510481
126_1_0,0.040213346
127_1_0,0.03561811
127_2_0,0.043544263
128_1_0,0.04110831
128_2_0,0.014041543
128_3_0,0.015809566
128_4_0,0.011221409
129_1_0,0.035711616
129_10_0,0.013368845
129_2_0,0.015331447
129_2_1,0.015331447
129_2_2,0.015331447
129_2_3,0.015331447
129_2_4,0.015331447
129_3_0,0.009087652
129_4_0,0.00959897
129_5_0,0.014914781
129_6_0,0.008704871
129_7_0,0.010260552
129_8_0,0.009109318
129_9_0,0.008838415
130_1_0,0.004476219
130_10_0,0.011118054
130_11_0,0.01127027
130_12_0,0.015547127
130_13_0,0.013844192
130_14_0,0.019774199
130_15_0,0.00773105
130_2_0,0.005990475
130_3_0,0.006349653
130_4_0,0.006279469
130_5_0,0.016833246
130_6_0,0.007026672
130_7_0,0.007170022
130_8_0,0.006599307
130_9_0,0.006758541
131_1_0,0.007394433
131_2_0,0.005984128
132_1_0,0.011647552
132_2_0,0.018684924
132_3_0,0.018386751
132_4_0,0.014503479
133_1_0,0.02707988
134_1_0,0.007755309
134_10_0,0.007189721
134_11_0,0.011596307
134_12_0,0.01357469
134_13_0,0.011472404
134_14_0,0.019971505
134_15_0,0.027084857
134_16_0,0.007345304
134_17_0,0.020905077
134_18_0,0.016631424
134_19_0,0.038850173
134_2_0,0.015648007
134_3_0,0.018582836
134_4_0,0.007909834
134_5_0,0.020664558
134_6_0,0.03296624
