ScanID,bounding_box_center_x,bounding_box_center_y,bounding_box_center_z
1_1_0,41.38278355,9.890260724,5.923438741
1_2_0,-101.3894415,61.68669498,85.67458059
10_1_0,79.63206214,1.583665381,35.59107023
10_2_0,89.86148992,-3.057441182,43.81071242
10_3_0,71.9599913,3.368706366,45.30519282
100_1_0,-39.87727894,-6.342647633,37.711092
103_1_0,-57.89680291,-2.789570764,-13.41404804
103_10_0,-104.7046714,65.0177329,68.19089143
103_2_0,-96.48649604,-14.27017244,-6.937465545
103_3_0,-87.5536967,-14.98771005,-5.642149046
103_4_0,-87.5536967,-2.072033159,13.1399402
103_5_0,-83.98057697,-14.62894124,13.1399402
103_6_0,-50.39325146,-44.40675185,19.61652269
103_7_0,-41.46045213,-22.8806237,27.38842169
103_8_0,85.38529846,-55.16981592,46.81816918
103_9_0,-125.7860779,74.70449056,61.06665068
104_1_0,-56.78523535,7.066652342,-44.75072479
104_2_0,-61.783769,30.6311681,-32.87572479
105_1_0,-52.74391759,1.92692459,-28.98143989
105_10_0,84.04343975,58.732023,37.5293366
105_11_0,89.05658898,63.79744579,36.85751057
105_12_0,95.86014863,69.94831632,40.2166407
105_2_0,-107.1723949,46.06846603,-26.29413579
105_3_0,98.36672325,48.23936151,-2.780224913
105_4_0,-113.9759545,75.73737094,13.34359969
105_5_0,112.3319246,70.31013223,21.40551199
105_6_0,95.50206655,64.52107762,13.34359969
105_7_0,-121.4956783,78.27008233,35.51385852
105_8_0,107.3187754,93.10453478,24.76464212
105_9_0,99.79905159,80.44097781,26.10829417
106_1_0,-97.63793514,52.17982682,18.8814263
106_2_0,-105.7998224,69.20688703,23.93770703
106_3_0,-107.2192811,73.10892167,42.26672468
106_4_0,-102.9609051,79.49406925,41.63468959
106_5_0,-112.5422511,64.95012198,54.27539142
106_6_0,-96.21847648,70.2710783,50.48318087
106_7_0,-112.1873864,78.78460841,64.38795288
107_1_0,87.96455234,-7.318455279,-39.94826508
107_2_0,-65.116256,-3.783101737,-31.82326508
107_3_0,-59.81322569,14.60073668,-30.57326508
107_4_0,-40.01524585,2.226999283,-26.19826508
107_5_0,-48.50009435,-18.27805126,-3.698265076
107_6_0,74.17667353,-31.00532401,-5.573265076
107_7_0,119.4291989,60.20679736,48.80173492
107_8_0,-101.8839328,46.7724539,56.30173492
107_9_0,119.4291989,60.20679736,49.42673492
108_1_0,106.6928069,-9.317577362,-36.09656525
108_2_0,98.56149375,-13.56000161,-17.34656525
108_3_0,88.30896848,-29.8226279,-3.596565247
108_4_0,-107.5496177,78.35919046,53.27843475
