,auroc_mean,eer_mean,accuracy_at_eer_mean,sensitivity_at_eer_mean,specificity_at_eer_mean,accuracy_at_sensitivity90_mean,sensitivity_at_sensitivity90_mean,specificity_at_sensitivity90_mean,auroc_std,eer_std,accuracy_at_eer_std,sensitivity_at_eer_std,specificity_at_eer_std,accuracy_at_sensitivity90_std,sensitivity_at_sensitivity90_std,specificity_at_sensitivity90_std,Method,Dataset
bg_m_PatRisk_RandomForest,0.6869242787361145,0.3464110612869263,0.6505433559417725,0.6578304886817932,0.6493473887443543,0.5941205978393554,0.6926072120666504,0.5778037190437317,0.03160269388881008,0.01946670970744869,0.024668806793770384,0.021474469621436714,0.027612239787482395,0.04794399978407461,0.03198711877613752,0.0549469941065386,RandomForest,bg_m_PatRisk_RandomForest
bg_m_PatRisk_SVM,0.6284031867980957,0.3956408679485321,0.5761324048042298,0.6373084187507629,0.5714098453521729,0.19911839663982392,0.9198524951934814,0.08400035351514816,0.05818969650222856,0.06886984343216636,0.17746514484680356,0.1437139449642133,0.21957542869269114,0.014173623659225455,0.025621456016609357,0.026838986330110212,SVM,bg_m_PatRisk_SVM
bg_m_PatRisk_NN,0.7737421274185181,0.30563355088233946,0.6961505770683288,0.6919636368751526,0.6967692613601685,0.4298383116722107,0.8989165425300598,0.35473582744598386,0.053635923880340414,0.06143522483059396,0.06189036361573821,0.06079584059864067,0.06217991098718789,0.1009718037228241,0.0063421291619599595,0.11940404019705489,NN,bg_m_PatRisk_NN
bg_m_PatRisk_LogisticRegression,0.7766933441162109,0.29512145519256594,0.7022888779640197,0.7081974029541016,0.7015596866607666,0.4215215384960175,0.8989165425300598,0.34407964050769807,0.055655365348167646,0.06477547425342459,0.06688276105635066,0.06260275676230934,0.06759088572041781,0.14811043758269477,0.0063421291619599595,0.17555342921646191,LogisticRegression,bg_m_PatRisk_LogisticRegression
bg_m_PatRisk_LinearRegression,0.7745947480201721,0.3085039138793945,0.6912290692329407,0.6919636368751526,0.6910285353660583,0.4538018226623535,0.9058130979537964,0.38131530582904816,0.06083077632186913,0.062412610341734454,0.0637513973505935,0.06079584059864067,0.06440240871433779,0.1148391463919297,0.01406607136480364,0.13462769134042427,LinearRegression,bg_m_PatRisk_LinearRegression
bg_m_MenoStatus_RandomForest,0.6634782910346985,0.3806161880493164,0.6157644510269165,0.6241119265556335,0.6146556973457337,0.5150344252586365,0.705583393573761,0.4843795895576477,0.05348101610437577,0.058337862449274185,0.055080917893527516,0.06354580624762039,0.054092088694633,0.025511069615744487,0.10538720459883753,0.035703603647871174,RandomForest,bg_m_MenoStatus_RandomForest
bg_m_MenoStatus_SVM,0.6118219554424286,0.41245850920677185,0.5985065460205078,0.5697340428829193,0.605348938703537,0.19106858372688293,0.912709641456604,0.07566290497779846,0.07800848042264134,0.08192077243700363,0.12487708867506508,0.07103514725352326,0.1443290925672156,0.03854356147133063,0.027129037573096034,0.05262221249094906,SVM,bg_m_MenoStatus_SVM
bg_m_MenoStatus_NN,0.7042896986007691,0.35020071268081665,0.6451852798461915,0.6559301018714905,0.6436684727668762,0.33816221356391907,0.8996077895164489,0.25002649426460266,0.08144106257651869,0.05937235783257744,0.06240049321048686,0.05638410826811593,0.06347836110237842,0.12670429463833188,0.018994651558833075,0.14235148550681354,NN,bg_m_MenoStatus_NN
bg_m_MenoStatus_LogisticRegression,0.6999642968177795,0.34903731346130373,0.6475602984428406,0.6556837916374206,0.6462415814399719,0.30845731794834136,0.885568380355835,0.2178772509098053,0.06660162222199136,0.061482817363168074,0.0608972908571211,0.06258983125469735,0.060644811828017696,0.12042121131266874,0.01688173098924821,0.13296088835581485,LogisticRegression,bg_m_MenoStatus_LogisticRegression
bg_m_MenoStatus_LinearRegression,0.7101307511329651,0.3420551657676697,0.6594655752182007,0.6556837916374206,0.66020587682724,0.3093277603387833,0.9060593962669372,0.21557832807302474,0.07326428133668075,0.06394310233006413,0.06520490092651406,0.06258983125469735,0.06567624360146508,0.11987066697057629,0.012559502677126478,0.13246320200822964,LinearRegression,bg_m_MenoStatus_LinearRegression
bg_m_FamRisk_RandomForest,0.6528294086456299,0.3870878636837006,0.603473961353302,0.6266674399375916,0.5991568326950073,0.5434328079223633,0.7078254461288452,0.5165836811065674,0.05585118929903366,0.0495123115833768,0.045198961318245405,0.06247539580597609,0.04431752434296391,0.047409147203704066,0.09839896923278224,0.05297402919020182,RandomForest,bg_m_FamRisk_RandomForest
bg_m_FamRisk_SVM,0.6049107909202576,0.4078216552734375,0.6533819615840912,0.5108475506305694,0.6735091388225556,0.19798511266708374,0.8922186374664307,0.08747293204069137,0.09013950437742672,0.0984752674194897,0.17372478724883283,0.11013368099632566,0.2039780325779468,0.022864771133797687,0.02635778408200475,0.026170192603157377,SVM,bg_m_FamRisk_SVM
bg_m_FamRisk_NN,0.7141338229179383,0.34301170110702517,0.6536289930343628,0.6616904616355896,0.6522861361503601,0.35073510408401487,0.8917736887931824,0.2666373260319233,0.09120650982385481,0.06821882597323847,0.06783333507090993,0.06918763486975005,0.06774466924402256,0.14526657608501145,0.01818974912330049,0.16060239567792753,NN,bg_m_FamRisk_NN
